Date,Open,High,Low,Close,Volume
3-Feb-17,71.72,71.99,71.25,71.70,3695367
2-Feb-17,71.87,72.15,70.87,71.68,4336571
1-Feb-17,74.36,75.44,71.82,71.85,7279632
31-Jan-17,75.31,76.31,75.28,76.28,3056221
30-Jan-17,75.78,75.79,75.00,75.26,2287021
27-Jan-17,75.69,75.84,75.22,75.52,1393807
26-Jan-17,75.72,76.24,75.50,75.69,1537726
25-Jan-17,75.46,75.93,75.21,75.81,2161131
24-Jan-17,75.53,75.77,75.32,75.47,1898206
23-Jan-17,75.91,76.10,75.45,75.58,1530681
20-Jan-17,75.73,76.04,75.29,75.79,1739289
19-Jan-17,75.78,76.16,75.36,75.62,1397366
18-Jan-17,75.99,76.64,75.94,76.17,1913870
17-Jan-17,75.57,76.36,75.33,76.20,2111510
13-Jan-17,75.07,75.43,74.70,75.21,1992744
12-Jan-17,75.65,75.84,75.04,75.28,2468805
11-Jan-17,75.44,75.91,75.24,75.63,1902366
10-Jan-17,75.59,75.68,75.12,75.43,1534164
9-Jan-17,76.93,76.98,75.68,75.72,1948159
6-Jan-17,76.04,77.04,75.89,76.90,1847970
5-Jan-17,75.79,76.34,75.12,76.28,2688036
4-Jan-17,76.39,76.69,75.92,76.18,3426199
3-Jan-17,76.57,76.69,75.96,76.25,3017521
30-Dec-16,77.04,77.13,76.38,76.59,2460027
29-Dec-16,76.53,77.32,76.29,76.99,2342683
28-Dec-16,76.73,76.97,76.25,76.33,1734455
27-Dec-16,76.61,76.96,76.25,76.67,1163464
23-Dec-16,76.68,76.76,76.12,76.75,1074153
22-Dec-16,76.36,76.70,76.00,76.63,1664824
21-Dec-16,76.64,77.16,76.22,76.24,1837291
20-Dec-16,76.44,76.65,76.04,76.51,2136436
19-Dec-16,76.37,76.65,75.75,76.51,2358977
16-Dec-16,74.64,76.19,74.64,75.87,5570654
15-Dec-16,74.24,74.93,73.93,74.57,2728974
14-Dec-16,76.19,76.56,74.07,74.12,3767002
13-Dec-16,75.68,76.07,75.34,75.95,2326585
12-Dec-16,74.35,75.84,74.35,75.46,2479634
9-Dec-16,73.51,74.61,73.40,74.53,2224948
8-Dec-16,73.16,73.60,72.63,73.50,1868998
7-Dec-16,73.00,73.58,72.79,73.50,3935360
6-Dec-16,73.55,73.57,72.56,72.71,2897868
5-Dec-16,73.46,73.56,72.55,73.48,2851263
2-Dec-16,73.37,74.03,73.35,73.78,2952469
1-Dec-16,72.93,73.06,72.20,72.75,3178074
30-Nov-16,74.64,74.76,73.27,73.29,4406989
29-Nov-16,74.84,76.30,74.75,76.11,3376858
28-Nov-16,74.14,75.33,74.12,75.17,2580249
25-Nov-16,73.01,74.39,73.01,73.95,1392659
23-Nov-16,72.47,73.29,72.47,72.87,3358893
22-Nov-16,72.10,73.34,72.07,73.19,3421407
21-Nov-16,71.39,72.25,71.30,72.25,2118482
18-Nov-16,71.06,71.43,70.54,71.15,2696455
17-Nov-16,70.77,71.53,70.68,71.03,2776874
16-Nov-16,71.44,71.68,70.78,71.05,2913975
15-Nov-16,70.34,71.44,70.34,71.24,3861390
14-Nov-16,70.51,70.64,69.51,69.99,4551717
11-Nov-16,71.19,71.75,70.56,70.76,2577751
10-Nov-16,72.86,72.88,70.56,71.13,4171762
9-Nov-16,74.05,74.25,73.06,73.22,3046702
8-Nov-16,74.86,75.81,74.69,75.50,1820797
7-Nov-16,74.22,74.74,73.02,74.72,2417584
4-Nov-16,74.64,75.16,73.78,73.79,2638075
3-Nov-16,73.91,74.56,73.48,74.35,1837924
2-Nov-16,74.48,74.53,72.87,74.10,2945188
1-Nov-16,75.03,75.14,74.20,74.46,2575994
31-Oct-16,73.98,75.91,73.62,75.20,4056570
28-Oct-16,73.38,73.78,72.99,73.49,1767661
27-Oct-16,73.43,73.80,72.81,73.30,1772485
26-Oct-16,73.29,73.93,72.89,73.83,1685624
25-Oct-16,73.12,73.46,72.80,73.40,2079497
24-Oct-16,73.13,73.35,72.53,73.12,2433042
21-Oct-16,72.66,73.06,72.43,72.84,1510791
20-Oct-16,73.28,73.47,73.01,73.11,1313779
19-Oct-16,73.40,73.51,72.83,73.21,1763275
18-Oct-16,73.32,73.72,72.65,73.37,1641800
17-Oct-16,73.03,73.30,72.53,72.83,1613690
14-Oct-16,73.16,73.47,72.70,72.78,1694062
13-Oct-16,72.16,73.88,72.09,73.31,3113715
12-Oct-16,71.72,72.34,71.69,72.16,1541202
11-Oct-16,72.20,72.28,71.44,71.69,2573310
10-Oct-16,71.60,72.31,71.39,72.22,1827580
7-Oct-16,72.40,73.10,71.41,71.50,1882762
6-Oct-16,71.63,72.28,71.35,71.91,2105852
5-Oct-16,72.20,72.64,71.32,71.88,3053060
4-Oct-16,73.08,73.10,71.70,72.15,3177488
3-Oct-16,74.21,74.21,72.88,73.28,2487600
30-Sep-16,75.10,75.32,73.83,74.27,3153613
29-Sep-16,75.84,75.95,74.49,74.75,2446539
28-Sep-16,75.98,76.12,75.08,75.84,2037478
27-Sep-16,76.90,77.25,75.64,75.78,2936914
26-Sep-16,77.03,77.22,76.40,76.60,2521747
23-Sep-16,76.84,77.24,76.22,77.01,2050553
22-Sep-16,77.00,77.32,76.52,77.04,2083062
21-Sep-16,75.75,76.78,75.38,76.75,2784743
20-Sep-16,76.25,76.36,75.61,75.63,2432142
19-Sep-16,75.12,75.93,75.03,75.90,2133317
16-Sep-16,74.25,75.30,73.95,75.06,4744365
15-Sep-16,73.86,74.62,73.56,74.45,2162971
14-Sep-16,73.66,74.41,73.42,73.79,1811986
13-Sep-16,73.86,74.03,73.16,73.52,3079119
12-Sep-16,72.57,74.22,72.55,74.05,3193765
9-Sep-16,74.90,74.96,72.49,72.50,2994926
8-Sep-16,75.18,75.59,74.89,75.51,2603931
7-Sep-16,75.32,75.66,75.05,75.39,1662533
6-Sep-16,75.21,75.82,74.97,75.50,2477423
2-Sep-16,74.05,75.09,74.00,74.75,1794941
1-Sep-16,74.18,74.34,73.78,74.06,2144244
31-Aug-16,73.99,74.34,73.68,74.16,3448820
30-Aug-16,75.65,76.02,74.84,74.95,2415477
29-Aug-16,75.09,75.69,75.04,75.69,3758852
26-Aug-16,76.27,76.89,74.66,74.74,3243742
25-Aug-16,76.02,76.56,75.90,76.24,2193258
24-Aug-16,75.60,76.22,75.43,76.12,2155391
23-Aug-16,76.38,76.78,75.83,75.83,2096191
22-Aug-16,75.95,76.58,75.71,76.28,2308195
19-Aug-16,76.49,76.63,75.31,75.80,3134504
18-Aug-16,76.41,76.86,76.14,76.86,4115968
17-Aug-16,74.68,76.68,74.32,76.65,4822026
16-Aug-16,74.89,75.08,74.54,74.68,4912908
15-Aug-16,75.81,76.33,74.98,75.00,1978651
12-Aug-16,75.78,76.64,75.51,75.96,3452784
11-Aug-16,75.09,75.56,74.88,75.40,3495052
10-Aug-16,75.01,75.36,74.72,75.01,5318385
9-Aug-16,74.69,75.01,74.10,74.73,7438906
8-Aug-16,75.07,75.65,74.62,74.99,2588713
5-Aug-16,76.30,76.30,75.24,75.37,2437625
4-Aug-16,76.75,77.33,76.31,76.42,2221605
3-Aug-16,77.57,77.93,76.39,76.75,2761939
2-Aug-16,77.32,77.58,76.63,77.37,2628545
1-Aug-16,77.73,78.08,77.45,77.58,1771449
29-Jul-16,76.79,78.22,76.78,78.02,3357560
28-Jul-16,76.52,77.17,76.25,76.94,2360795
27-Jul-16,77.48,77.48,76.10,76.52,2878042
26-Jul-16,78.54,78.62,77.30,77.53,2102142
25-Jul-16,78.26,78.62,77.99,78.61,1694097
22-Jul-16,77.61,78.60,77.49,78.51,1580478
21-Jul-16,76.95,77.66,76.72,77.60,1640653
20-Jul-16,77.72,77.99,77.23,77.30,1408546
19-Jul-16,77.78,78.09,77.36,77.83,1495168
18-Jul-16,77.66,78.06,77.52,77.82,1521548
15-Jul-16,77.30,77.74,77.14,77.53,1925991
14-Jul-16,77.30,77.49,76.96,77.14,2250944
13-Jul-16,77.90,77.98,77.47,77.77,2352368
12-Jul-16,77.67,78.01,77.23,77.41,2061409
11-Jul-16,77.69,78.27,77.22,78.15,1831981
8-Jul-16,77.41,78.20,76.54,78.19,2259191
7-Jul-16,78.72,78.92,77.25,77.47,2572152
6-Jul-16,78.45,78.97,78.04,78.92,2949078
5-Jul-16,78.00,78.52,77.87,78.45,2470164
1-Jul-16,78.06,78.18,77.07,77.86,2212269
30-Jun-16,76.65,77.93,76.47,77.93,3348224
29-Jun-16,76.64,76.80,76.02,76.41,2847662
28-Jun-16,74.77,76.44,74.32,76.44,5903815
27-Jun-16,73.90,75.10,73.80,74.95,3362698
24-Jun-16,73.53,74.83,73.38,74.17,4332912
23-Jun-16,73.80,73.95,73.47,73.95,1412562
22-Jun-16,74.31,74.44,73.75,73.79,1796113
21-Jun-16,74.26,74.58,73.80,74.35,2809722
20-Jun-16,74.47,74.67,73.65,74.36,4934652
17-Jun-16,73.84,74.40,73.58,74.12,7977950
16-Jun-16,73.17,74.14,73.01,73.89,3174167
15-Jun-16,73.69,74.13,73.24,73.68,3277266
14-Jun-16,73.39,73.88,73.19,73.67,5939597
13-Jun-16,73.50,73.96,73.30,73.39,3182936
10-Jun-16,73.73,73.99,73.07,73.35,2357198
9-Jun-16,72.85,73.85,72.54,73.74,1709026
8-Jun-16,72.56,73.23,72.41,72.95,1620353
7-Jun-16,72.74,73.31,72.38,72.50,1911557
6-Jun-16,72.89,73.22,72.37,72.77,2032640
3-Jun-16,72.17,73.31,72.00,72.97,3157573
2-Jun-16,71.45,71.68,70.74,71.49,2248989
1-Jun-16,71.20,71.83,71.10,71.68,1929161
31-May-16,71.62,72.33,71.35,72.25,3876788
27-May-16,71.68,71.78,71.20,71.61,1373079
26-May-16,70.79,71.72,70.75,71.57,1846255
25-May-16,70.62,71.04,70.22,70.94,2054831
24-May-16,70.30,70.93,70.08,70.78,1974177
23-May-16,71.12,71.20,70.09,70.14,2014929
20-May-16,71.15,71.20,70.66,70.98,2155800
19-May-16,69.27,70.90,68.71,70.88,2901717
18-May-16,70.60,71.24,69.31,69.61,3446910
17-May-16,72.04,72.27,70.75,71.08,2309559
16-May-16,72.01,72.35,71.52,72.22,1512868
13-May-16,72.26,72.44,71.62,72.09,1716844
12-May-16,71.64,72.39,71.42,72.28,2509746
11-May-16,71.63,71.86,70.87,71.72,1831494
10-May-16,71.73,71.87,71.38,71.52,1702057
9-May-16,71.41,71.64,71.02,71.48,2059620
6-May-16,72.11,72.22,70.57,71.27,2379898
5-May-16,72.69,73.34,71.64,71.99,2697763
4-May-16,70.41,73.02,70.41,72.78,3189038
3-May-16,71.87,72.30,71.42,71.94,3914268
2-May-16,71.70,72.48,71.50,72.10,3025241
29-Apr-16,70.60,71.47,70.10,71.47,4504902
28-Apr-16,70.22,71.09,70.05,71.03,2678150
27-Apr-16,70.14,71.22,69.94,70.75,3224917
26-Apr-16,70.25,70.57,69.69,69.90,2322636
25-Apr-16,70.07,70.34,69.78,70.20,2588527
22-Apr-16,69.60,70.25,69.60,70.06,2533633
21-Apr-16,71.08,71.08,69.28,69.51,3552095
20-Apr-16,72.98,73.09,71.02,71.08,2552040
19-Apr-16,72.78,73.15,72.48,72.82,2431108
18-Apr-16,73.00,73.16,72.16,72.87,2656703
15-Apr-16,72.87,73.26,72.58,73.05,2401712
14-Apr-16,72.80,73.10,72.41,72.70,1602945
13-Apr-16,73.44,73.44,72.41,72.80,1788390
12-Apr-16,72.91,73.32,72.78,73.22,2776285
11-Apr-16,73.10,73.59,72.83,72.87,2623753
8-Apr-16,73.24,73.50,72.83,73.04,2416553
7-Apr-16,72.62,73.23,72.54,72.97,2331645
6-Apr-16,72.89,73.23,72.34,72.75,4226590
5-Apr-16,73.60,73.74,72.14,73.05,7974939
4-Apr-16,75.22,75.22,74.29,74.58,2009399
