Date,Open,High,Low,Close,Volume
6-Feb-17,124.40,124.82,123.53,123.86,1048152
3-Feb-17,123.90,124.88,123.55,124.21,2056808
2-Feb-17,122.96,123.52,122.12,123.46,1251242
1-Feb-17,122.72,123.63,122.09,122.62,2055215
31-Jan-17,122.44,124.31,122.16,123.72,2195310
30-Jan-17,121.67,123.62,121.54,122.45,2820032
27-Jan-17,119.96,121.84,119.32,121.37,3135102
26-Jan-17,118.70,119.29,117.91,118.75,1377399
25-Jan-17,118.24,119.09,118.11,119.02,1720120
24-Jan-17,118.74,119.26,118.37,118.81,1212635
23-Jan-17,119.53,119.92,118.66,118.78,2278678
20-Jan-17,119.48,119.63,118.35,119.26,1276496
19-Jan-17,119.37,120.24,118.85,119.28,1181426
18-Jan-17,120.22,120.97,119.84,120.03,1446591
17-Jan-17,119.40,120.29,119.18,120.22,1740471
13-Jan-17,119.30,119.42,117.88,119.05,1443785
12-Jan-17,119.59,119.93,118.86,119.50,1633481
11-Jan-17,118.24,119.61,118.24,119.41,1400045
10-Jan-17,118.13,118.71,117.33,118.58,1593244
9-Jan-17,119.12,119.51,118.10,118.35,1515828
6-Jan-17,118.41,119.13,118.01,118.65,2202542
5-Jan-17,119.78,119.78,117.75,119.00,1538818
4-Jan-17,119.23,119.81,118.58,119.07,2135449
3-Jan-17,119.54,119.65,117.80,118.72,1525797
30-Dec-16,120.21,120.75,119.10,119.46,1423965
29-Dec-16,119.23,120.26,118.52,120.18,1011962
28-Dec-16,119.32,119.67,118.47,118.65,1303338
27-Dec-16,119.08,119.58,118.57,119.25,655437
23-Dec-16,118.89,119.26,118.54,119.23,892629
22-Dec-16,118.64,119.02,118.16,118.90,1250711
21-Dec-16,119.09,119.80,118.51,118.60,1518254
20-Dec-16,119.24,119.90,118.76,119.30,1541490
19-Dec-16,119.50,119.69,118.31,119.22,1286141
16-Dec-16,117.24,119.19,117.12,118.90,3923785
15-Dec-16,115.98,117.05,114.85,117.03,2707704
14-Dec-16,119.69,120.43,116.00,116.03,2628353
13-Dec-16,117.51,119.18,117.48,119.02,2401686
12-Dec-16,116.09,117.79,115.86,117.45,4181501
9-Dec-16,116.99,117.38,115.74,116.49,2978975
8-Dec-16,116.78,117.63,116.34,116.87,2247524
7-Dec-16,115.02,117.70,114.80,117.68,2697155
6-Dec-16,114.82,115.62,114.47,114.75,2942860
5-Dec-16,114.31,115.40,113.18,115.00,2540691
2-Dec-16,113.70,114.91,113.61,114.41,2115737
1-Dec-16,113.52,113.92,112.63,112.95,3022230
30-Nov-16,115.88,115.99,114.16,114.23,3338284
29-Nov-16,116.30,118.53,116.18,117.27,3170821
28-Nov-16,115.25,116.66,115.00,116.30,4640286
25-Nov-16,113.92,115.17,113.89,114.76,1152326
23-Nov-16,112.90,113.83,112.73,113.42,2374729
22-Nov-16,113.83,114.73,113.59,113.83,2581209
21-Nov-16,114.44,114.63,113.69,114.35,2300042
18-Nov-16,115.65,115.65,113.46,114.09,3067628
17-Nov-16,113.91,115.14,113.89,114.78,2169071
16-Nov-16,115.28,115.60,113.18,114.29,4247461
15-Nov-16,114.30,115.34,113.75,115.03,4499902
14-Nov-16,112.91,114.56,110.49,114.44,6653035
11-Nov-16,114.56,115.53,112.77,113.54,4240486
10-Nov-16,116.79,116.92,112.35,115.06,7464039
9-Nov-16,121.17,121.17,116.18,117.49,7044826
8-Nov-16,124.71,125.43,124.10,125.17,2122961
7-Nov-16,123.80,124.67,122.80,124.66,2845360
4-Nov-16,124.43,124.70,123.15,123.18,2185436
3-Nov-16,123.70,124.39,122.92,123.84,2223524
2-Nov-16,123.30,124.28,122.19,123.68,6036081
1-Nov-16,128.19,128.28,125.45,125.89,1653846
31-Oct-16,127.05,128.46,125.77,128.00,3050324
28-Oct-16,125.33,126.45,124.90,125.73,1993805
27-Oct-16,125.85,126.40,124.33,125.12,1518065
26-Oct-16,125.57,126.52,124.86,126.20,1315999
25-Oct-16,124.14,125.60,123.90,125.52,1386664
24-Oct-16,124.21,124.54,123.49,124.38,1486999
21-Oct-16,123.53,124.19,122.89,123.71,1126152
20-Oct-16,124.58,125.61,123.91,124.13,1856535
19-Oct-16,124.90,125.36,124.13,124.58,1556574
18-Oct-16,125.01,125.45,123.67,125.11,1315749
17-Oct-16,124.35,124.47,123.62,124.06,1132927
14-Oct-16,124.35,125.04,123.89,124.03,1384514
13-Oct-16,122.93,125.17,122.52,124.63,2033267
12-Oct-16,121.34,123.14,121.21,122.98,1920618
11-Oct-16,122.15,122.48,120.78,121.15,1913878
10-Oct-16,121.86,122.94,121.25,122.78,2056437
7-Oct-16,119.89,123.26,119.67,121.74,4835986
6-Oct-16,118.12,119.11,117.52,118.03,2744917
5-Oct-16,119.07,120.15,118.41,118.54,2067316
4-Oct-16,121.14,121.14,118.10,118.90,2301348
3-Oct-16,122.46,122.68,120.24,121.13,1693405
30-Sep-16,124.30,124.88,121.76,122.32,3063794
29-Sep-16,125.89,125.94,122.74,123.70,2771247
28-Sep-16,127.32,127.45,125.32,126.48,1710777
27-Sep-16,127.09,128.59,126.55,126.79,2455787
26-Sep-16,126.55,126.98,125.81,126.23,1385179
23-Sep-16,125.56,127.69,124.05,126.75,2452134
22-Sep-16,128.41,128.87,127.69,128.03,1558262
21-Sep-16,125.18,127.87,125.05,127.84,1952369
20-Sep-16,124.84,125.76,124.84,125.07,2082417
19-Sep-16,123.65,124.89,123.42,124.74,1247583
16-Sep-16,122.25,123.54,121.72,123.32,3351502
15-Sep-16,122.00,123.04,121.42,122.73,1296668
14-Sep-16,122.00,122.92,121.52,122.10,1970893
13-Sep-16,122.80,123.22,121.09,121.54,1919771
12-Sep-16,121.00,123.58,120.65,123.29,2543487
9-Sep-16,124.35,124.55,120.75,120.86,2686779
8-Sep-16,124.27,125.77,124.27,125.38,1748362
7-Sep-16,126.96,126.96,124.42,125.06,2450554
6-Sep-16,123.75,125.29,123.56,125.29,2431037
2-Sep-16,122.01,123.69,121.31,123.13,2356464
1-Sep-16,120.75,121.24,120.22,121.00,2082172
31-Aug-16,121.17,121.67,120.62,120.94,2048482
30-Aug-16,122.26,122.94,121.05,121.22,1700913
29-Aug-16,121.87,123.19,121.61,122.34,2140093
26-Aug-16,123.94,124.93,121.49,121.62,1878113
25-Aug-16,124.34,124.85,124.04,124.51,1239382
24-Aug-16,123.95,124.48,123.46,124.15,1233323
23-Aug-16,125.32,125.73,124.22,124.27,1235403
22-Aug-16,125.45,125.70,124.73,125.04,1536315
19-Aug-16,126.56,126.56,124.40,125.08,2449050
18-Aug-16,125.30,127.04,125.30,126.96,2651904
17-Aug-16,123.98,126.00,123.01,125.80,2019969
16-Aug-16,125.21,125.21,123.99,123.99,1608811
15-Aug-16,127.12,127.30,125.28,125.32,1185817
12-Aug-16,127.30,127.71,126.73,126.79,1500371
11-Aug-16,126.37,127.09,126.10,127.02,1509047
10-Aug-16,126.19,126.54,125.66,126.37,1148121
9-Aug-16,126.02,126.61,125.65,126.07,1715358
8-Aug-16,126.24,127.01,125.58,125.99,1994126
5-Aug-16,126.78,127.16,125.31,125.99,1768162
4-Aug-16,127.84,128.39,127.05,127.45,2271468
3-Aug-16,127.59,128.46,127.06,128.09,5072860
2-Aug-16,127.75,128.32,126.84,127.63,1653287
1-Aug-16,128.20,128.81,127.90,128.50,2058929
29-Jul-16,127.27,128.51,127.27,128.29,2334961
28-Jul-16,127.02,128.10,126.55,127.42,1848167
27-Jul-16,128.16,128.69,125.55,127.17,2410988
26-Jul-16,129.39,129.61,128.00,128.43,1785490
25-Jul-16,129.30,129.80,128.63,129.49,1275397
22-Jul-16,128.01,130.15,127.75,129.81,1688510
21-Jul-16,127.00,128.46,126.39,128.26,1655184
20-Jul-16,128.57,128.65,127.15,127.21,1686777
19-Jul-16,127.91,128.31,127.25,128.09,1597188
18-Jul-16,127.74,128.67,127.59,128.25,2046570
15-Jul-16,127.54,128.29,127.09,127.58,1349005
14-Jul-16,127.28,128.10,126.54,127.24,2455775
13-Jul-16,127.87,128.55,127.41,128.17,2071372
12-Jul-16,129.05,129.98,127.26,127.33,2294643
11-Jul-16,129.41,129.74,128.09,129.69,1376949
8-Jul-16,128.09,129.98,126.66,129.93,1989126
7-Jul-16,130.50,130.81,127.97,128.33,1921918
6-Jul-16,130.67,131.98,129.47,130.89,2497929
5-Jul-16,129.72,131.32,129.52,130.87,2521500
1-Jul-16,131.27,131.27,128.58,129.73,1586681
30-Jun-16,127.97,130.43,127.39,130.40,3121211
29-Jun-16,128.84,129.28,127.29,127.75,2413784
28-Jun-16,127.53,128.56,126.29,128.46,2559126
27-Jun-16,123.85,128.22,123.85,127.88,3419774
24-Jun-16,122.13,125.09,121.25,123.80,4077354
23-Jun-16,123.73,123.81,122.96,123.81,1396415
22-Jun-16,124.40,124.53,123.49,123.64,1366706
21-Jun-16,124.54,124.96,123.57,124.27,1860131
20-Jun-16,124.90,125.10,123.21,124.24,1628450
17-Jun-16,125.03,125.23,123.73,125.10,2906105
16-Jun-16,124.17,125.07,123.84,124.85,1533677
15-Jun-16,124.63,124.68,123.31,123.84,1917806
14-Jun-16,123.72,125.02,122.88,124.98,1585583
13-Jun-16,123.87,124.34,123.36,123.59,1170657
10-Jun-16,123.92,124.85,123.12,123.83,1472419
9-Jun-16,122.97,124.14,122.87,123.98,1387890
8-Jun-16,120.97,122.99,120.82,122.92,1830882
7-Jun-16,122.03,122.48,121.07,121.11,1682921
6-Jun-16,122.08,122.70,121.17,121.75,1409748
3-Jun-16,120.85,122.37,120.64,121.80,1961602
2-Jun-16,119.83,120.20,118.70,119.81,1378897
1-Jun-16,120.12,120.83,119.61,120.15,1651893
31-May-16,119.84,120.87,119.45,120.12,3343888
27-May-16,119.90,120.09,119.21,119.84,1091737
26-May-16,118.21,119.90,118.20,119.82,1149134
25-May-16,119.60,119.97,118.86,119.10,1418882
24-May-16,118.25,120.06,118.08,119.89,1860695
23-May-16,119.45,119.50,117.87,117.99,1233086
20-May-16,118.60,119.38,117.87,119.33,2237416
19-May-16,117.13,118.45,116.50,118.41,2060536
18-May-16,119.19,120.81,117.41,118.02,2299525
17-May-16,121.10,121.29,118.94,119.78,2133649
16-May-16,120.34,121.51,119.81,121.48,1322299
13-May-16,120.91,121.33,119.70,120.76,1386345
12-May-16,119.87,121.39,119.27,121.15,1990030
11-May-16,119.77,120.35,118.50,119.69,1435192
10-May-16,119.28,119.99,118.91,119.60,1157138
9-May-16,118.64,119.09,118.13,118.89,1231235
6-May-16,119.06,119.10,117.50,118.49,1462203
5-May-16,119.42,120.44,117.96,118.85,2089447
4-May-16,118.02,120.44,117.74,119.46,1660513
3-May-16,118.34,118.95,117.44,118.42,1308709
2-May-16,117.83,118.76,117.28,118.06,1911144
29-Apr-16,116.21,117.75,115.15,117.58,2328014
28-Apr-16,115.80,117.73,115.13,116.47,2144213
27-Apr-16,115.68,118.02,115.40,116.89,2545130
26-Apr-16,114.72,115.64,114.20,115.52,1969551
25-Apr-16,114.31,114.47,113.85,114.47,1132694
22-Apr-16,113.45,114.53,113.24,114.44,1732771
21-Apr-16,115.23,115.25,112.44,112.91,2427744
20-Apr-16,118.06,118.32,115.44,115.51,1429197
19-Apr-16,118.08,118.40,117.22,118.10,1832669
18-Apr-16,117.20,117.77,116.47,117.77,1453961
15-Apr-16,116.50,117.60,116.15,117.43,1598702
14-Apr-16,116.17,116.93,115.00,116.15,1536488
13-Apr-16,117.39,117.59,115.76,116.48,1185098
12-Apr-16,116.48,117.26,116.07,117.05,1428607
11-Apr-16,117.06,117.63,116.03,116.23,1051354
8-Apr-16,115.99,117.44,115.99,116.81,1067252
7-Apr-16,116.37,117.31,115.99,116.19,1331277
6-Apr-16,116.32,116.74,115.58,116.71,1639250
5-Apr-16,118.30,118.90,116.15,116.35,2200681
4-Apr-16,119.03,119.18,117.94,118.72,1308811
