Date,Open,High,Low,Close,Volume
25-Jan-17,62.37,63.69,62.37,63.60,3122559
24-Jan-17,61.89,62.82,61.63,62.68,1668118
23-Jan-17,61.40,61.63,60.26,61.42,2002647
20-Jan-17,62.16,62.69,61.30,61.98,2144202
19-Jan-17,61.54,62.57,61.54,61.96,1882466
18-Jan-17,61.47,62.07,61.11,61.74,2468233
17-Jan-17,61.45,61.99,61.10,61.90,2928503
13-Jan-17,62.21,62.34,60.73,60.92,3108246
12-Jan-17,63.62,63.80,62.40,62.42,1672809
11-Jan-17,62.52,63.63,62.24,63.38,1857001
10-Jan-17,63.50,63.62,62.27,62.38,3270020
9-Jan-17,63.32,63.94,63.05,63.24,1837114
6-Jan-17,64.17,64.72,63.46,63.96,2555000
5-Jan-17,64.84,65.36,64.09,64.35,2028463
4-Jan-17,64.08,65.46,64.08,64.75,2122626
3-Jan-17,65.29,65.80,63.70,65.03,2710286
30-Dec-16,64.64,65.36,64.59,64.97,1873473
29-Dec-16,64.58,64.90,64.00,64.72,1461474
28-Dec-16,65.53,65.72,64.36,64.71,2255491
27-Dec-16,65.15,65.69,64.93,65.55,2224481
23-Dec-16,65.25,65.48,64.73,64.93,1176582
22-Dec-16,64.92,65.94,64.92,65.61,2688836
21-Dec-16,65.60,65.91,64.76,64.89,2359525
20-Dec-16,66.09,66.59,64.84,65.15,2208962
19-Dec-16,66.10,66.54,65.32,65.73,2380152
16-Dec-16,65.57,66.53,64.96,66.39,6142341
15-Dec-16,64.39,65.83,64.11,65.35,4902476
14-Dec-16,66.00,66.19,64.25,64.74,3555687
13-Dec-16,66.48,68.09,65.89,66.23,2818282
12-Dec-16,66.95,68.59,65.54,66.34,5644395
9-Dec-16,66.31,66.61,65.63,66.32,2219982
8-Dec-16,66.39,66.58,64.23,65.81,3481176
7-Dec-16,66.39,66.85,65.57,66.14,2923677
6-Dec-16,65.55,67.07,65.22,66.89,2387626
5-Dec-16,65.86,66.94,65.35,66.31,4766543
2-Dec-16,63.87,65.75,63.47,65.30,4627227
1-Dec-16,64.91,65.07,63.72,64.00,3724060
30-Nov-16,63.07,64.72,62.52,64.33,6397451
29-Nov-16,60.08,61.04,59.70,60.48,2867136
28-Nov-16,62.33,62.50,60.73,61.27,2415839
25-Nov-16,61.47,61.88,60.80,61.88,888705
23-Nov-16,61.10,62.19,61.05,62.00,2758346
22-Nov-16,61.86,61.89,60.81,61.57,2473926
21-Nov-16,61.85,62.40,61.46,62.02,1946905
18-Nov-16,61.22,61.24,60.32,60.86,2996054
17-Nov-16,61.12,61.80,60.85,61.23,2844363
16-Nov-16,60.85,61.19,59.56,61.17,3900023
15-Nov-16,59.56,61.36,59.25,61.02,4288097
14-Nov-16,58.67,59.61,58.22,58.99,2880925
11-Nov-16,59.01,59.36,58.03,58.64,2840545
10-Nov-16,58.71,59.88,57.94,59.37,3865830
9-Nov-16,58.25,60.18,57.80,59.00,3369906
8-Nov-16,58.56,59.19,57.90,58.86,2917399
7-Nov-16,58.38,59.38,58.18,58.71,4887453
4-Nov-16,55.17,58.32,54.94,58.11,8452664
3-Nov-16,54.34,55.22,54.15,55.21,4099753
2-Nov-16,54.63,54.84,53.44,54.46,5250933
1-Nov-16,55.54,55.63,53.63,55.34,9991294
31-Oct-16,62.00,62.16,54.55,55.40,19920437
28-Oct-16,57.67,59.39,56.65,59.12,14737157
27-Oct-16,55.06,55.22,54.40,54.55,3358286
26-Oct-16,54.25,55.32,53.97,54.76,5031484
25-Oct-16,55.80,57.37,53.88,54.39,10501252
24-Oct-16,52.42,52.48,51.69,52.15,3056113
21-Oct-16,51.71,52.44,51.38,52.35,3138376
20-Oct-16,52.45,52.82,52.03,52.25,2782040
19-Oct-16,52.19,53.29,51.96,52.83,4815016
18-Oct-16,51.99,52.38,51.45,51.60,3546940
17-Oct-16,51.74,51.92,51.00,51.35,3183003
14-Oct-16,52.76,52.86,51.36,51.75,3532873
13-Oct-16,51.72,52.71,51.51,52.50,2594853
12-Oct-16,52.27,52.64,51.95,52.20,3404295
11-Oct-16,53.19,53.25,52.22,52.52,3813353
10-Oct-16,53.27,54.46,53.16,53.35,4511169
7-Oct-16,52.61,53.39,52.21,52.84,4719466
6-Oct-16,51.30,52.63,51.22,52.29,3273995
5-Oct-16,50.47,51.68,50.22,51.22,4959724
4-Oct-16,50.18,50.23,49.58,49.96,2361131
3-Oct-16,50.24,50.38,49.62,50.03,2840448
30-Sep-16,50.60,50.78,49.95,50.47,4441008
29-Sep-16,50.06,51.04,49.61,50.21,5242391
28-Sep-16,48.61,49.91,48.17,49.82,5496855
27-Sep-16,48.33,48.34,47.54,48.06,3307311
26-Sep-16,49.58,49.88,48.99,49.16,2944164
23-Sep-16,49.48,50.22,49.00,49.24,3602859
22-Sep-16,50.96,50.96,50.06,50.15,2320770
21-Sep-16,49.00,50.30,48.68,50.19,3424841
20-Sep-16,48.43,48.94,48.08,48.48,2263604
19-Sep-16,49.09,49.35,48.48,48.50,2266847
16-Sep-16,48.42,48.56,47.96,48.40,4976961
15-Sep-16,48.64,49.59,48.30,49.18,3556974
14-Sep-16,48.11,49.20,47.85,48.42,3200688
13-Sep-16,48.96,48.96,48.01,48.34,3754268
12-Sep-16,48.57,49.91,48.01,49.70,3942704
9-Sep-16,50.60,50.89,49.13,49.14,3723694
8-Sep-16,50.26,51.35,49.81,51.29,3202186
7-Sep-16,49.82,50.06,48.73,49.90,5493209
6-Sep-16,49.87,50.00,49.18,49.96,2597236
2-Sep-16,50.34,50.69,49.68,49.78,2877528
1-Sep-16,49.11,49.94,48.55,49.83,4523313
31-Aug-16,50.00,50.14,48.86,49.13,3804291
30-Aug-16,50.96,51.58,49.83,50.00,2883847
29-Aug-16,50.65,50.94,50.21,50.65,2991405
26-Aug-16,51.86,52.04,50.71,50.86,2613347
25-Aug-16,51.27,51.83,51.00,51.65,2424594
24-Aug-16,51.44,51.92,51.05,51.23,2861848
23-Aug-16,51.91,52.14,51.66,51.86,2296127
22-Aug-16,52.08,52.18,51.41,51.80,3721064
19-Aug-16,51.88,52.83,51.85,52.70,3339035
18-Aug-16,51.19,52.35,50.97,52.05,3585455
17-Aug-16,51.00,51.27,50.50,50.72,4278475
16-Aug-16,50.64,51.61,50.44,51.20,3525111
15-Aug-16,50.00,50.86,49.78,50.64,2398870
12-Aug-16,48.91,49.93,48.69,49.76,4727034
11-Aug-16,47.91,48.66,47.74,48.61,2921609
10-Aug-16,48.20,48.50,47.57,47.74,3242178
9-Aug-16,48.25,48.30,47.66,47.85,2670266
8-Aug-16,47.31,48.53,47.25,47.99,3974027
5-Aug-16,47.37,47.46,46.80,47.06,3498716
4-Aug-16,46.89,47.59,46.71,47.08,2932686
3-Aug-16,46.53,47.32,46.43,47.13,3947405
2-Aug-16,46.17,46.98,45.54,46.68,4012499
1-Aug-16,47.32,47.70,45.60,45.75,4113968
29-Jul-16,45.71,47.98,45.67,47.83,5623827
28-Jul-16,45.38,46.68,45.05,46.05,6166000
27-Jul-16,44.85,45.55,43.55,44.53,3287575
26-Jul-16,43.42,44.94,43.09,44.78,2795299
25-Jul-16,44.18,44.19,43.25,43.71,2136346
22-Jul-16,44.40,44.97,43.82,44.55,2546146
21-Jul-16,45.60,46.09,44.44,44.49,4063050
20-Jul-16,45.66,46.01,45.26,45.71,2955848
19-Jul-16,46.59,46.79,45.53,45.74,3325689
18-Jul-16,45.62,46.94,45.50,46.86,2316898
15-Jul-16,46.35,46.48,45.55,45.92,2172878
14-Jul-16,45.82,46.50,45.59,46.18,2290455
13-Jul-16,45.95,46.03,44.70,45.26,2782037
12-Jul-16,44.07,45.91,44.04,45.82,3807532
11-Jul-16,44.06,44.74,43.58,43.60,2510914
8-Jul-16,44.24,44.69,43.17,43.69,3525283
7-Jul-16,44.52,44.95,43.18,43.54,2783117
6-Jul-16,43.72,44.24,43.17,44.21,1413076
5-Jul-16,45.00,45.48,43.66,44.05,2011205
1-Jul-16,45.31,46.00,45.22,45.83,2819562
30-Jun-16,45.05,45.37,44.81,45.13,3315901
29-Jun-16,44.23,45.19,44.18,45.11,3901938
28-Jun-16,43.01,43.76,42.58,43.69,4046866
27-Jun-16,44.57,44.81,41.74,42.06,4827746
24-Jun-16,45.04,46.42,44.86,45.22,7761840
23-Jun-16,46.89,47.20,46.48,47.17,2108004
22-Jun-16,46.92,47.02,46.00,46.06,1950457
21-Jun-16,45.81,46.92,45.57,46.60,2913372
20-Jun-16,47.39,47.76,45.85,45.87,2685963
17-Jun-16,46.39,47.00,46.07,46.81,3116468
16-Jun-16,45.36,46.07,44.64,45.95,2382710
15-Jun-16,45.58,46.46,45.36,45.99,3377466
14-Jun-16,45.11,45.86,44.72,45.61,2953590
13-Jun-16,45.60,46.80,45.41,45.50,2913097
10-Jun-16,47.00,47.35,45.87,45.94,2383341
9-Jun-16,47.59,47.91,47.15,47.55,2226129
8-Jun-16,49.00,49.30,47.55,47.93,4417077
7-Jun-16,49.65,49.95,48.87,48.90,4489077
6-Jun-16,46.75,49.67,46.68,49.52,5040662
3-Jun-16,45.88,46.66,45.76,46.24,3888001
2-Jun-16,45.99,46.29,45.42,45.90,3252269
1-Jun-16,45.68,46.94,45.23,46.33,3807690
31-May-16,45.98,46.86,45.93,46.38,3733464
27-May-16,45.25,46.08,45.18,46.04,2557835
26-May-16,45.80,46.19,45.37,45.57,3704285
25-May-16,44.31,45.83,44.30,45.55,3983126
24-May-16,44.91,45.15,43.74,43.96,5833583
23-May-16,45.09,45.47,44.69,44.89,4119575
20-May-16,45.46,45.70,44.93,45.33,3556312
19-May-16,45.42,45.86,44.58,45.24,2644306
18-May-16,46.64,47.08,45.54,45.95,3697959
17-May-16,45.50,47.37,45.49,46.80,4435876
16-May-16,45.30,46.28,45.02,45.88,3859785
13-May-16,45.29,45.62,44.62,44.63,2779195
12-May-16,45.31,45.60,44.83,45.47,3174539
11-May-16,45.12,45.71,44.66,44.82,3129458
10-May-16,44.53,45.27,44.13,45.23,3852543
9-May-16,45.45,45.69,43.90,44.25,3651053
6-May-16,44.59,46.28,44.50,45.88,4059339
5-May-16,45.13,45.62,44.29,45.05,4234203
4-May-16,45.50,46.04,44.14,44.49,4539103
3-May-16,46.69,46.96,45.15,45.54,8658390
2-May-16,49.44,50.76,45.93,47.40,13231314
29-Apr-16,47.90,49.25,47.31,48.36,3639554
28-Apr-16,46.35,48.11,46.35,47.86,5560852
27-Apr-16,44.23,47.67,44.05,46.94,5429933
26-Apr-16,45.34,45.81,44.75,45.80,2586923
25-Apr-16,46.17,46.40,44.51,45.04,3519116
22-Apr-16,47.11,48.16,45.70,46.43,4476870
21-Apr-16,46.58,47.42,46.36,46.69,3469711
20-Apr-16,46.38,47.17,45.62,47.00,3462670
19-Apr-16,45.82,46.60,45.38,46.50,2918512
18-Apr-16,42.92,45.83,42.71,45.70,3344035
15-Apr-16,43.12,43.90,42.45,43.80,3449111
14-Apr-16,41.53,43.87,41.18,43.18,8395055
13-Apr-16,41.12,41.63,40.69,41.30,5481512
12-Apr-16,41.75,42.17,40.35,41.23,6653769
11-Apr-16,43.47,43.74,41.19,41.74,4453738
8-Apr-16,43.16,43.88,42.40,43.11,5278741
7-Apr-16,42.22,43.32,41.07,41.93,8506025
6-Apr-16,39.00,43.25,38.77,42.83,14881030
5-Apr-16,40.79,41.08,38.16,39.36,11389942
4-Apr-16,41.80,42.58,40.24,41.47,7133610
